id,created_at,closed_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description,source_type,source_record_key
74,2023-04-03,2023-04-03,closed,unified,统一平台,220kV睦田变,220kV,220kV场地西侧,INSTALLATION_DEBUG,施工/调试/接入,"220kV场地西侧摄像头故障,更换调试后恢复正常",import_worklog,unified:import_worklog:01be6eedaa2c49a5b8352a5f9168be45bb37e5f15ad4aa4aca71e27be1a27f28
75,2023-04-03,2023-04-03,closed,unified,统一平台,110kV杨柳变,110kV,#3主变东北侧,INSTALLATION_DEBUG,施工/调试/接入,"#3主变东北侧摄像头、110kV场地北侧摄像头、电容器场地南侧摄像头故障,更换调试后恢复正常",import_worklog,unified:import_worklog:ec6ee166f690d9d1f03b904b5e4a46538a35550fce18bf60b0c613fdc6c2ace8
76,2023-04-04,2023-04-04,closed,unified,统一平台,220kV鹤溪变,220kV,#1主变东北侧,INSTALLATION_DEBUG,施工/调试/接入,"#1主变东北侧摄像头、1#主变东南侧摄像头、110kV场地北侧摄像头故障,更换调试后恢复正常",import_worklog,unified:import_worklog:5295fbb3065ebbddf022ca08e7180343d8e7834d526307a5ea8c1c577ab1d7f9
77,2023-04-06,2023-04-06,closed,unified,统一平台,220kV濛洲变,220kV,1#主变东侧,INSTALLATION_DEBUG,施工/调试/接入,"1#主变东侧摄像头故障,更换调试后恢复正常",import_worklog,unified:import_worklog:5b46ba2f6046c83106e4021986c146e5d5abd542b7d3c92aa05ef927b06f05bb
78,2023-04-07,2023-04-07,closed,unified,统一平台,110kV芳野变,110kV,#2主变东南侧,INSTALLATION_DEBUG,施工/调试/接入,"#2主变东南侧摄像头故障,更换调试后恢复正常",import_worklog,unified:import_worklog:8435c5d4ac02832eabd08ad466fb7bacfd50da4b3393b066b188861d836c42e7
79,2023-04-07,2023-04-07,closed,unified,统一平台,110kV安仁变,110kV,110kV场地西侧,INSTALLATION_DEBUG,施工/调试/接入,"110kV场地西侧摄像头故障,更换调试后恢复正常",import_worklog,unified:import_worklog:613b1b0b5ff71dbea3f96f2f21774d8b3775b9eba826750dfefec2081e98f636
84,2023-04-24,2023-04-24,closed,unified,统一平台,110kV滨江变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:c326a8b1992fe3d6bbbf2a926b03ec449f20cac8e4fbc6abf22976829a7608c2
85,2023-04-26,2023-04-26,closed,unified,统一平台,220kV枫树变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:17fdbf31a94d98ef7f2eb79f0472ee19f5c6e4114c1b7cec675ac85d9a2c5a12
86,2023-05-08,2023-05-08,closed,unified,统一平台,220kV青田变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:105e336c7cc369420d0786464313cb1cc9dbc64618b148954ec4a6cbc5273a23
87,2023-05-10,2023-05-10,closed,unified,统一平台,220kV睦田变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:93853aa564e5752a7ad3b25e2ab64b1aeeb90d314025c4387466e8f080803c62
