bucket,id,created_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description
review,65,2023-03-09,closed,unified,统一平台,110kV延庆变,110kV,110kV场地东北侧-1#球机,INSTALLATION_DEBUG,施工/调试/接入,110kV场地东北侧-1#摄像头故障，摄像机老化死机，现场设备调试优化后恢复正常
review,66,2023-03-13,closed,unified,统一平台,220kV松阳变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,1#、3#、4#、6#、8#、10#、25#摄像头故障，更换光纤收发器电源1台和7个光纤收发器后恢复正常
review,67,2023-03-14,closed,unified,统一平台,220kV仙都变,220kV,蓄电池室,INSTALLATION_DEBUG,施工/调试/接入,蓄电池室摄像头故障，更换调试后恢复正常
review,68,2023-03-16,closed,unified,统一平台,110kV云和变,110kV,蓄电池室东北侧,INSTALLATION_DEBUG,施工/调试/接入,蓄电池室东北侧摄像头故障，更换调试后恢复正常
review,69,2023-03-17,closed,unified,统一平台,220kV濛洲变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,1#主变东、1#主变西、35kV开关室西侧、2#主变北摄像头故障，更换光纤收发器电源1台后恢复正常
review,70,2023-03-21,closed,unified,统一平台,220kV睦田变,220kV,35kV开关室,INSTALLATION_DEBUG,施工/调试/接入,1#主变东侧、2#主变南侧、220kV场地西侧、35kV开关室摄像头故障，更换光纤收发器电源1台和2对光纤收发器后恢复正常
review,72,2023-03-22,closed,unified,统一平台,110kV芳野变,110kV,蓄电池室,INSTALLATION_DEBUG,施工/调试/接入,主控室、蓄电池室摄像头故障，更换并调试后正常
review,74,2023-04-03,closed,unified,统一平台,220kV睦田变,220kV,220kV场地西侧,INSTALLATION_DEBUG,施工/调试/接入,"220kV场地西侧摄像头故障,更换调试后恢复正常"
review,75,2023-04-03,closed,unified,统一平台,110kV杨柳变,110kV,#3主变东北侧,INSTALLATION_DEBUG,施工/调试/接入,"#3主变东北侧摄像头、110kV场地北侧摄像头、电容器场地南侧摄像头故障,更换调试后恢复正常"
review,76,2023-04-04,closed,unified,统一平台,220kV鹤溪变,220kV,#1主变东北侧,INSTALLATION_DEBUG,施工/调试/接入,"#1主变东北侧摄像头、1#主变东南侧摄像头、110kV场地北侧摄像头故障,更换调试后恢复正常"
review,77,2023-04-06,closed,unified,统一平台,220kV濛洲变,220kV,1#主变东侧,INSTALLATION_DEBUG,施工/调试/接入,"1#主变东侧摄像头故障,更换调试后恢复正常"
review,78,2023-04-07,closed,unified,统一平台,110kV芳野变,110kV,#2主变东南侧,INSTALLATION_DEBUG,施工/调试/接入,"#2主变东南侧摄像头故障,更换调试后恢复正常"
review,79,2023-04-07,closed,unified,统一平台,110kV安仁变,110kV,110kV场地西侧,INSTALLATION_DEBUG,施工/调试/接入,"110kV场地西侧摄像头故障,更换调试后恢复正常"
review,126,2023-07-27,closed,unified,统一平台,110kV缙云变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,更换尾纤1条和备用光配端口并调试
review,165,2023-10-19,closed,unified,统一平台,110kV岩泉变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,仓库摄像机光纤传输故障，因场地施工原因无法恢复
review,321,2025-04-21,closed,unified,统一平台,220kV遂昌变,220kV,电容器场地东南侧-3#球机,INSTALLATION_DEBUG,施工/调试/接入,220kV场地1#摄像机更换尾纤，光纤熔接电容器场地东南侧3#摄像机并调试。
review,336,2025-06-25,closed,unified,统一平台,110kV官桥变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,#2主变东侧7#摄像机网线故障，重新放线后正常
review,408,2026-04-08,closed,unified,统一平台,110kV东山变,110kV,110kV场地东南侧,INSTALLATION_DEBUG,施工/调试/接入,110kV场地东南侧摄像机集中电源接口故障，换接口后恢复正常 | 地点: 缙云
