fault_id,project_code,station_id,station_name,created_at,closed_at,current_camera_id,current_camera_slot_id,current_camera_location_text,source_text,parsed_location_hint,derived_location_hint,match_status,target_slot_id,target_camera_id,target_slot_code,target_slot_location_desc,target_camera_location_desc,target_channel_number,target_project_device_code,target_score,ambiguous_options
213,unified,66,110kV水阁变,2024/3/28,2024/3/28,,,110kV场地东侧,110kV场地东侧摄像机故障更换,,110kV场地东侧,matched,1389,1389,LEGACY_unified_66_35_110kV场地东侧-3#球机_b5bfe7a8e2,110kV场地东侧-3#球机,110kV场地东侧-3#球机,3,3,11,
214,unified,58,220kV丽水变,2024/4/9,2024/4/9,,,,220kV场地北侧1#摄像机电源故障，重启恢复,,220kV场地北侧,matched,1123,1123,LEGACY_unified_58_1_220kV场地北侧-1#球_8f4e0ded13,220kV场地北侧-1#球,220kV场地北侧-1#球,1,1,12,
216,unified,78,220kV龙南变,2024/4/12,2024/4/12,,,,摄像机部分离线，机柜电源跳闸，合闸后恢复,,,unresolved,,,,,,,,,
217,unified,65,220kV枫树变,2024/4/22,2024/4/22,,,,35kV开关室19#摄像机监控箱子脱落，重新固定后恢复。,,35kV开关室,ambiguous,,,,,,,,14,slot:1362 35kV开关室外墙北侧-10#球机 | slot:1363 35KV开关室外墙东侧-11#-枪机 | slot:1372 35kV开关室外东墙1--20#枪机
221,unified,59,220kV仙都变,2024/4/27,2024/4/27,,,,市公司上传故障现场勘察,,,unresolved,,,,,,,,,
227,inspection,59,220kV仙都变,2024/5/20,2024/5/20,,,,永都间隔道路旁摄像机拆除,,,unresolved,,,,,,,,,
228,unified,14,110kV延庆变,2024/5/20,2024/5/20,,,,110kV场地3#摄像机故障更换,,110kV场地,matched,271,271,LEGACY_unified_14_33_110kV场地东北侧-1#球机_d4a2c13aac,110kV场地东北侧-1#球机,110kV场地东北侧-1#球机,1,1,12,
229,unified,68,220kV海口变,2024/5/21,2024/5/21,,,2#主变北侧,2#主变北侧摄像机故障，因下雨未更换,,2#主变北侧,unresolved,,,,,,,,,
233,unified,68,220kV海口变,2024/6/4,2024/6/4,,,,2#主变东北侧-3#摄像机故障更换,,2#主变东北侧,matched,1454,1454,LEGACY_unified_68_25_2#主变东北侧_补强_-32#球_a8279b54af,2#主变东北侧（补强）-32#球,2#主变东北侧（补强）-32#球,25,25,13,
235,inspection,59,220kV仙都变,2024/6/13,2024/6/13,,,,永都间隔道路旁摄像机复原,,,unresolved,,,,,,,,,
236,unified,67,220kV河阳变,2024/6/18,2024/6/18,,,,全站离线现场勘察,,,unresolved,,,,,,,,,
237,unified,67,220kV河阳变,2024/6/19,2024/6/19,,,,更换交换机一台,,,unresolved,,,,,,,,,
238,unified,67,220kV河阳变,2024/6/25,2024/6/25,,,,更换光纤收发器三个,,,unresolved,,,,,,,,,
240,unified,45,110kV东源变,2024/7/9,2024/7/9,,,,电容器室8#摄像机故障更换,,电容器室,matched,925,925,LEGACY_unified_45_40_电容器室顶部-8#球_dea9a53622,电容器室顶部-8#球,电容器室顶部-8#球,8,8,9,
241,unified,69,220kV金亭变,2024/7/10,2024/7/10,,,,电容器场地11#摄像机故障，重启后恢复,,电容器场地,matched,1464,1464,LEGACY_unified_69_4_1#电容器场地北侧-11#球_dd99271161,1#电容器场地北侧-11#球,1#电容器场地北侧-11#球,4,4,13,
248,unified,48,110kV温溪变,2024/8/5,2024/8/5,,,,10kV开关室5#摄像机故障更换,,10kV开关室,ambiguous,,,,,,,,11,slot:966 10kV开关室东侧-5#球机 | slot:967 10kV开关室西侧-6#球机
249,unified,56,110kV芳野变,2024/8/7,2024/8/7,,,,因高温，作业停止。,,,unresolved,,,,,,,,,
251,unified,74,220kV宏山变,2024/8/15,2024/8/15,,,,继保室北侧19#摄像机故障更换,,继保室北侧,unresolved,,,,,,,,,
252,unified,69,220kV金亭变,2024/8/19,2024/8/19,,,,35kV开关室东北侧29#摄像机故障更换,,35kV开关室东北侧,matched,1486,1486,LEGACY_unified_69_27_35kV开关室东北侧-29#球_b95799c76f,35kV开关室东北侧-29#球,35kV开关室东北侧-29#球,26,26,14,
253,unified,68,220kV海口变,2024/8/20,2024/8/20,,,,#2主变西侧、电容器场地西北侧、220kV场地东南侧20#摄像机光纤收发器电源故障更换通道,,220kV场地东南侧,matched,1432,1432,LEGACY_unified_68_1_220kV场地东南侧_黑光_-20#球_4f6773daac,220kV场地东南侧（黑光）-20#球,220kV场地东南侧（黑光）-20#球,1,1,16,
254,unified,59,220kV仙都变,2024/8/21,2024/8/21,,,,35kV开关室楼顶1#、2#球机（补强）故障更换,,,unresolved,,,,,,,,,
